Annotation Specialist,Subjective Impression,OneWord,Song,Performer,Performer2,Performer3,Performer4,Performer5,label,label2,label3,label4,,producer,producer2,producer3,producer4,producer5,producer6,Producer7,Producer8,songwriters,songwriter2,songwriter3,songwriter4,songwriter5,songwriter6,songwriter7,songwriter8,songwriter9,songwriter10,songwriter11,songwriter12,songwriter13,songwriter14,songwriter15,songwriter16,songwriter17,songwriter18,songwriter19,songwriter20,songwriter21,songwriter22,songwriter23,songwriter24,songwriter25,songwriter26,songwriter27,songwriter28,songwriter29,songwriter30
Abigail,"Pretty bouncy, very lyric based, gets a little repetitive towards the end but the vibes are there!",Rips,I Need A Girl (Part Two),P. Diddy, Ginuwine ,Loon,Mario Winans ,Tammy Ruggeri,Bad Boy,Arista,,,,Mario Winans,Sean Combs,,,,,,,Sean Combs,Chauncey Hawkins,Mario Winans,Frankie Romano,Michael Carlos Jones,Adonis Shropshire,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"It's just such a mid song, doesn't give great car listening or dancing material, has crappy chorus ",Doesn't Rip,Jealous,DJ Khaled  ,Big Sean,Chris Brown,Lil Wayne,,We The Best,Epic,,,,Khaled Khaled  ,,,,,,,,Hamish Stuart,Andy Marvel,Onnie McIntyre,Steve Ferrone,Roger Ball,Chris Brown,Alan Gorrie,Malcolm Duncan,Diana King,Kingsley Gardner,Brittany Coney,Blu June,Tay Keith,DJ Khaled,Lil Wayne,Big Sean,,,,,,,,,,,,,,
Abigail,"I hate autotune country BUT this is such a good driving choice, and also has good beat, and is super catchy. ",Rips,Meant To Be,Bebe Rexha,Florida Georgia Line,,,,Warner Bros.,,,,,David Garcia,Wilshire Pablo Garcia,Joey Moi,,,,,,Bleta Rexha,Tyler Hubbard,Josh Miller,David Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,The group vocals in this are so good and the simplicity of the guitar helps. ,Rips,FourFiveSeconds,Rihanna,Kanye West,Paul McCartney,,,Roc Nation,Westbury Road,,,,Kanye West,Paul McCartney,,,,,,,Kanye West,Paul McCartney,Kirby Lauryen,Mike Dean,Tyrone Griffin,Dave Longstreth,Robyn Fenty,Dallas Austin,Elon Rutberg,Noah Goldstein,,,,,,,,,,,,,,,,,,,,
Abigail,"I like the beat, and the little melody.",Rips,Eastside,Benny Blanco ,Khalid,Halsey,,,Friends Keep Secrets,Interscope,,,,Andrew Watt,Benny Blanco,Cashmere Cat,Happy Perez,,,,,Benny Blanco,Ashley Frangipane,Nathan Perez,Khalid Robinson,Ed Sheeran,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,ATE this up. No notes. ,Rips,I Know What You Want,Busta Rhymes,Mariah Carey ,The Flipmode Squad,,,J,Flipmode,,,,Rick Rock,,,,,,,,Trevor G. Smith Jr.,Rashia Fisher,Roger McNair,Ricardo Thomas,William A. Lewis,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Insanely good honestly,Rips,The Boy Is Mine,Brandy,Monica,,,,Atlantic,,,,,Darkchild,Brandy,Dallas Austin,,,,,,LaShawn Daniels,Rodney Jerkins,Fred Jerkins III,Japhe Tejeda,Brandy Norwood,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Pitbull, obviously bops hard.",Rips,Give Me Everything,Pitbull  ,Nayer,Ne-Yo,Afrojack,,Polo Grounds,J,Mr. 305,,,Afrojack,DJ Buddha (co.),,,,,,,Armando Pérez,Nick van de Wall,Shaffer Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Kinda hype I guess, but isn't interesting or good at all. Would need to be wasted for it to be good.",Doesn't Rip,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,Zayion McCall,,,,Crunk Incorporated,Atlantic,,,,Lil' Jay,,,,,,,,Tyjuan Peoples,James McCall,Jonathan Lewis,Brittany Carpentero,Christopher Henderson,Venetia Lewis,Alphonce Smith,Jarques Usher,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Jon, you kinda sound like you've been kidnapped and you're being forced to sing this at gunpoint. ",Doesn't Rip,If You Go,Jon Secada,,,,,SBK,,,,,Emilio Estefan,Lawrence Dermer,Jon Secada,,,,,,Jon Secada,Miguel Morejon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
